,0,1,2,3,4
0,Upazila wise number of co-operative society 2011,,,,
1,,,,,
2, Upazila, Number,Number of employee,Number of client,Annual premium (lac tk.)
3,Bishwamvarpur,227,507,5050,24
4,Chhatak,269,670,16880,81
5,Dakshin Sunamganj,108,210,2779,12
6,Derai,168,190,3954,35
7,Dharmapasha,571,880,12062,87
8,Doarabazar,182,300,4550,12
9,Jagannathpur,91,140,2093,45
10,Jamalganj,388,418,5893,98
11,Shalla,90,283,3164,22
12,Sunamganj Sadar,194,220,11221,39
13,Tahirpur,183,230,5144,60
14,Total,2471,4048,72790,515
