,0,1,2,3,4
0,"Occurrence of flood during the year 2008-2011 (Yes, No)",,,,
1,,,,,
2,Upazila,2008,2009,2010,2011
3,Bishwamvarpur,Yes,No,Yes,No
4,Chhatak,Yes,No,Yes,No
5,Dakshin Sunamganj,No,No,No,No
6,Derai,No,Yes,No,No
7,Dharmapasha,No,No,Yes,No
8,Doarabazar,No,No,No,No
9,Jagannathpur,No,Yes,Yes,No
10,Jamalganj,No,No,No,No
11,Shalla,Yes,No,Yes,No
12,Sunamganj Sadar,No,No,No,No
13,Tahirpur,Yes,No,No,No
