,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3,Upazila,Vehicle,Vehicle,Vehicle,Vehicle,Vehicle
4,Upazila,Rickshaw,Rickshaw van,Easy bike,Auto rickshaw,Tempo
5,Bhurungamari,5,3,2,2,0
6,Char Rajibpur,0,5,0,5,5
7,Chilmari,8,8,5,5,5
8,Kurigram Sadar,5,20,5,5,0
9,Nageshwari,5,6,0,5,2
10,Phulbari,6,4,0,4,4
11,Rajarhat,10,20,0,5,5
12,Raumari,7,5,5,3,3
13,Ulipur,10,20,5,5,5
14,Average,8,10,5,5,5
