,0,1,2,3,4
0,Number of cooperative society and member 2011,,,,
1,,,,,
2,Upazila,Number of co-operative society,Number of member,Number of member,Total
3,Upazila,Number of co-operative society,Male,Female,Total
4,Bhurungamari,330,9908,992,10900
5,Char Rajibpur,124,2200,1350,3550
6,Chilmari,235,5327,429,5756
7,Kurigram Sadar,13,6698,64,6762
8,Nageshwari,164,6500,650,7150
9,Phulbari,80,2262,910,3172
10,Rajarhat,137,1055,2459,3514
11,Raumari,68,7750,1065,8815
12,Ulipur,357,6542,1582,8124
13,Total,1508,48242,9501,57743
