,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,2010-11,2010-11,2009-10,2009-10
4, Upazila,Area,Production,Area,Production
5,Daulotpur,61,33,57,28
6,Gheor,34,21,53,34
7,Horirampur,0,0,0,0
8,Manikganj Sadar,2355,871,2420,918
9,Saturia,2340,1027,965,413
10,Shibalaya,23,12,75,45
11,Singair,0,0,0,0
12,Total,4813,1963,3570,1437
