,0,1,2,3,4
0,Number of establishment in cottage industries and person engaged 2011,,,,
1,,,,,
2,Upazila Upazila 1,Number of unit Number of unit 2,Person engaged Family 3,Person engaged Hired 4,Person engaged Total 5
3,Atgharia,20,20,80,100
4,Bera,32,32,0,32
5,Bhangura,311,325,55,380
6,Chatmohar,1502,1528,37,1565
7,Faridpur,609,1069,147,1216
8,Ishwardi,512,420,512,932
9,Pabna Sadar,2544,2618,1837,4455
10,Santhia,4287,4895,993,5888
11,Sujanagar,228,400,60,460
12,Total,10045,11307,3721,15028
