,0,1,2
0,11.10 Number of money exchange agency 2011,,
1,,,
2,Upazila 1,Number of money exchange agency 2,Number of employee 3
3,Atgharia,0,0
4,Bera,0,0
5,Bhangura,0,0
6,Chatmohar,0,0
7,Faridpur,0,0
8,Ishwardi,1,3
9,Pabna Sadar,3,9
10,Santhia,0,0
11,Sujanagar,0,0
12,Total,4,12
