,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Bhola,,,,,,,,,
2,,,,,,,,,,
3, Upazila,Weaving/ Handloom, Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing, Pottery, Others
4,Bhola Sadar,0,24,83,0,0,0,0,0,0
5,Burhanuddin,0,0,15,0,0,0,0,0,0
6,Char Fasson,0,693,378,0,0,0,0,6,137
7,Daulatkhan,0,0,68,0,0,0,0,0,0
8,Lalmohan,0,0,123,0,0,0,0,0,0
9,Manpura,0,0,15,0,0,0,0,0,0
10,Tazumuddin,0,0,287,0,0,0,0,53,0
11,Total,0,717,969,0,0,0,0,59,137
