,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school,teacher and student by municipality 2011",,,,,,,,,,
1,Bhola,,,,,,,,,,
2,,,,,,,,,,,
3, Municipality,Primary school - Govt,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt,Number of student - Non- govt.,Number of student - Total,Students per teacher
4,Bhola Sadar,12,6,18,52,24,76,7350,3200,10550,139
5,Burhanuddin,2,1,3,22,3,25,1077,162,1239,50
6,Char Fasson,2,8,10,23,32,55,1420,1200,2620,48
7,Daulatkhan,6,1,7,49,3,52,1725,254,1979,38
8,Lalmohan,5,6,11,45,24,69,1982,1076,3058,44
9,Total,27,22,49,191,86,277,13554,5892,19446,70
