,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Bhola,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila,Population(000) - 1981,Population(000) - 1991,Population(000) - 2001,Population(000) - 2011,Literacy rate 	() - 1981,Literacy rate 	() - 1991,Literacy rate 	() - 2001,Literacy rate 	() - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
4,Bhola Sadar,284,352,408,431,21.6,25.6,39.1,45.2,113,110,223
5,Burhanuddin,210,208,244,234,21.6,21.9,37.2,47.9,63,67,130
6,Char Fasson,262,342,414,456,19.3,25.5,37.7,43.5,118,121,239
7,Daulatkhan,143,153,173,169,23,24.5,37.3,41.6,49,50,99
8,Lalmohan,202,252,277,284,20.2,20.3,32.2,40,81,86,167
9,Manpura,35,51,67,77,16.3,21.3,35.7,32.1,19,20,39
10,Tazumuddin,73,117,120,127,21.3,27,36.7,42.9,34,33,67
11,Total,1209,1475,1703,1778,20.2,24.9,36.9,43.2,477,487,964
