,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ Handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri Factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Chandpur Sadar,0,52,491,0,3,9,0,0,0
4,Foridganj,0,0,1250,0,0,0,0,14,0
5,Haimchar,0,0,85,0,0,0,0,0,0
6,Hajiganj,2,0,3035,0,0,0,12,4,0
7,Kachua,4,41,2164,0,0,0,2,29,24
8,Matlab Dakshin,0,62,136,0,0,0,0,5,0
9,Matlab Uttar,0,10,500,0,0,0,0,0,20
10,Shahrasti,0,150,55,0,0,0,0,50,185
11,Total,6,315,7716,0,3,9,14,102,229
