,0,1,2,3,4,5,6,7,8
0,"Number of kindergarten school (pre schooling), teacher and student 2011",,,,,,,,
1,Bogura,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of kindergarten school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
4,Adamdighi,20,55,42,97,1197,1028,2225,23
5,Bogra sadar,98,215,275,490,5882,5653,11535,23
6,Dhunat,35,96,93,189,1690,1285,2975,16
7,Gabtali,16,62,50,112,1120,980,2100,19
8,Dhupchanchia,10,40,8,48,870,901,1771,37
9,Kahaloo,7,22,13,35,392,454,846,24
10,Nandigram,12,52,18,70,668,668,1356,19
11,Sariakandi,6,30,22,52,760,576,1336,26
12,Sherpur,63,129,143,272,3335,3330,6665,25
13,Shibganj,61,241,125,366,4594,1675,6269,17
14,Sonatola,11,21,34,55,370,410,780,14
15,Shajahanpur,43,69,128,197,2371,2366,4737,24
16,Total,382,1032,951,1983,23249,19326,42595,45
