,0,1,2,3,4,5,6,7,8
0,Number of ebtedayee madrasah 2011,,,,,,,,
1,Bogura,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of madrasah,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
4,Adamdighi,3,9,4,13,141,191,332,25
5,Bogra sadar,18,42,30,72,1904,1656,3560,49
6,Dhunat,28,88,40,128,2486,1482,3968,31
7,Gabtali,32,57,19,76,1720,1330,3050,40
8,Dhupchanchia,8,32,17,49,504,499,1003,20
9,Kahaloo,16,66,3,69,1084,890,1974,29
10,Nandigram,22,55,33,88,2000,1300,3300,38
11,Sariakandi,6,18,6,24,380,310,690,28
12,Sherpur,36,135,25,160,1328,822,2150,14
13,Shibganj,31,85,25,110,1800,1200,3000,27
14,Sonatola,28,70,14,84,2167,1198,3365,40
15,Shajahanpur,46,200,12,212,4895,4005,8900,42
16,Total,274,857,228,1085,20409,14883,35292,33
