,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Thakurgaon,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila,Population (000) 1981,Population (000) 1991,Population (000) 2001,Population (000) 2011,Literacy rate () 1981,Literacy rate () 1991,Literacy rate () 2001,Literacy rate () 2011,Number of voter (000) Male,Number of voter (000) Female,Number of voter (000) Total
4,Baliadangi,123,147,170,195,18.2,23.8,39.2,43.4,58,57,115
5,Haripur,82,101,128,148,17.6,19.5,34.1,42.1,41,42,84
6,Pirgonj,173,183,216,243,15.5,29.3,41.3,47.8,67,66,133
7,Ranisankail,127,156,196,222,15.7,25.7,35.1,46.6,64,63,127
8,Thakurgaon Sadar,339,423,504,581,19.7,30.1,47.4,53.3,171,172,343
9,Total,844,1011,1214,1390,17.7,27.3,41.8,48.7,401,400,802
