,0,1,2,3,4,5,6,7,8,9
0,"Number of selected industry by upazila, city corporation 2011",,,,,,,,,
1,,,,,,,,,,
2,Upazila/city corporation,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering,Aluminium,Jute mill,Sugar mill,Others
3,Bagha,0,0,39,0,0,0,0,0,7
4,Baghmara,0,0,33,0,0,0,0,0,15
5,Charghat,0,0,90,0,0,0,0,0,17
6,Durgapur,0,0,190,0,0,0,0,0,9
7,Godagari,0,0,235,0,0,0,0,0,24
8,Mohanpur,0,0,31,0,0,0,0,0,6
9,Paba,0,0,0,0,0,0,1,1,7
10,Puthia,0,0,82,0,0,0,0,0,103
11,Rajshahi city corporation,1,12,67,0,9,5,0,0,23
12,Tanore,0,0,173,0,0,0,0,0,8
13,Total,1,12,940,0,9,5,1,1,219
