,0,1,2,3,4,5,6,7
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,,
1,Rajshahi,,,,,,,
2,,,,,,,,
3,Upazila/city corporation,Municipality,Ward (PSA),Mahalla,Union,Mauza,Village,Depopulated Mauza
4,Bagha,2,18,50,6,98,78	25,
5,Baghmara,2,18,40,16,292,332	21,
6,Charghat,1,9,20,6,93,115	9,
7,Durgapur,1,9,19,7,114,107	16,
8,Godagari,2,18,44,9,389,396	73,
9,Mohanpur,1,9,17,6,167,138	30,
10,Paba,2,18,60,8,186,209	52,
11,Puthia,1,9,16,6,128,183	5,
12,Tanore,2,18,40,7,211,169	54,
13,Total,14,126,306,71,1678,1727	285,
