,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,"
Upazila",Agricultural personnel,"Live- stock
personnel",Plant protection,Fishery personnel,Sanitary personnel,"Family planning
personnel",Trained midwife
2,Atpara,42,14,2,10,26,60,33
3,Barhatta,30,20,1,4,1,30,15
4,Durgapur,21,8,1,6,8,48,37
5,Kalmakanda,41,8,1,7,15,40,0
6,Kendua,43,8,1,4,9,110,0
7,Khaliajuri,17,9,1,5,0,7,8
8,Madan,28,28,1,2,13,59,105
9,Mohanganj,37,5,1,4,45,54,0
10,Netrokona Sadar,59,39,2,8,4,101,12
11,Purbadhala,48,17,1,13,9,76,15
12,Total,366,156,12,63,130,610,322
