,0,1,2,3,4,5
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,,
1,"

Upazila",Name of land/river port,Name of Important or historical/tourist place/object,"Name of important
/famous crop or food production","Customer care service provider’s
and cell phone operator","Distance between district head quarter & upazila by
road (km)"
2,Atpara,-,-,Peddy,"Grameen Phone, Banglalink, Robi",19.5
3,Barhatta,-,-,Paddy(Bp-28),"Grameen Phone, Banglalink, Robi",18
4,Durgapur,-,Sretisauda,Peddy,"Grameen Phone,
Banglalink, Robi",30
5,Kalmakanda,-,Sretisauda,Peddy,"Grameen Phone, Banglalink, Robi",30
6,Kendua,-,Roail Bari Durgo,-,"Grameen Phone,
Banglalink, Robi",30
7,Khaliajuri,-,0,Peddy,Grameen Phone,60
8,Madan,-,Madan Mazar,Peddy,"Grameen Phone,
Banglalink, Robi",31
9,Mohanganj,Sapomara River,Mojomder Bari,Peddy,"Grameen Phone, Banglalink, Robi",38
10,"Netrokona
Sadar",-,"Shah Sholtaner
Mazar","Sweet(Balish
Misti)","Grameen Phone,
Banglalink, Robi",0
11,Purbadhala,-,Rajdhala Bil,Peddy,"Grameen Phone,
Banglalink, Robi",17
