,0,1,2,3,4
0,"Number of registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,
1,Upazila,Rickshaw,Van,"Easy bike and
auto-rickshaw",Tempo
2,Atpara,53,0,0,0
3,Barhatta,0,0,0,0
4,Durgapur,450,90,25,32
5,Kalmakanda,0,0,0,0
6,Kendua,3,0,9,0
7,Khaliajuri,0,0,0,0
8,Madan,696,0,215,0
9,Mohanganj,80,5,7,0
10,Netrokona Sadar,5834,48,114,200
11,Purbadhala,250,0,0,0
12,Total,7116,143,370,232
