,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,Narail,,,,,
2,,,,,,
3,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
4,Kalia,225,0,0,230,85
5,Lohagara,350,250,0,250,100
6,Narail Sadar,200,180,130,170,120
7,Average,258,215,130,217,102
