,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,Narail,,,,,,,,,,,
2,,,,,,,,,,,,
3,  Upazila,Number of branch of all private commercial banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
4,Kalia,6,250,0,55,0,600,1000,950,1000,15,1
5,Lohagara,7,7156,1325,36,13,1420,932,7332,2270,47,18
6,Narail Sadar,11,135,130,0,0,613,715,748,845,2,2
7,Total,24,7541,1455,91,13,2633,2647,9030,4115,64,21
