,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
3,Alikadam,300,250,150,200,120
4,Bandarban Sadar,350,300,200,300,150
5,Lama,300,300,200,300,100
6,Naikhongchhari,250,300,250,200,150
7,Rowangchhari,300,250,200,200,150
8,Ruma,300,250,200,250,120
9,Thanchi,400,350,250,300,150
10,Average,314,286,207,250,134
