,0,1,2,3,4,5,6,7,8
0,"Number of agricultural and veterinary college, teacher and student 2011",,,,,,,,
1,Pirojpur,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Bhandaria,1,8,4,12,101,30,131,11
5,Kawkhali,0,0,0,0,0,0,0,0
6,Mathbaria,0,0,0,0,0,0,0,0
7,Nazirpur,0,0,0,0,0,0,0,0
8,Nesarabad,0,0,0,0,0,0,0,0
9,Pirojpur Sadar,0,0,0,0,0,0,0,0
10,Zianagar,0,0,0,0,0,0,0,0
11,Total,1,8,4,12,101,30,131,11
