,0,1,2,3
0,Length of railway and water way 2011,,,
1,Chittagong,,,
2,(Kilometer),,,
3, Upazila/City corporation,"Total railway (all broad gage, meter gage  duel gage)",Water way in monsoon (river + canal),Water way in round the year (river + canal)
4,Anowara,0,12,12
5,Banshkhali,0,120,130
6,Boalkhali,5,33,20
7,Chandanaish,20,20,5
8,Chittagong City Corporation,44.9,16.43,14.03
9,Fatikchhari,0,0,0
10,Hathazari,19,100,30
11,Lohagara,0,0,0
12,Mirsharai,12,59,53
13,Patiya,16,2025,920
14,Rangunia,0,24,24
15,Raozan,0,0,10
16,Sandwip,0,85.74,185.74
17,Satkania,0,0,0
18,Sitakunda,45,0,0
19,Total,161.9,2495.17,1403.77
