,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,Chittagong,,,,,,,
2,,,,,,,,
3,Upazila/City corporation, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
4,Anowara,6500,12,1,52,52,16,2
5,Banshkhali,3200,19,1,0,117,13,1
6,Boalkhali,4383,10,1,0,6,3,0
7,Chandanaish,3570,24,1,0,0,42,1
8,Chittagong City Corporation,234,13,5,16,37,59,11
9,Fatikchhari,4030,353,2,0,0,1,1
10,Hathazari,7708,850,1,0,0,187,0
11,Lohagara,2578,41,0,0,0,253,0
12,Mirsharai,13610,10,2,0,74,21,0
13,Patiya,518,45,1,0,12,6,2
14,Rangunia,3450,110,2,0,2,1,1
15,Raozan,4370,43,2,0,1,1,0
16,Sandwip,10339,0,0,270,12,2,0
17,Satkania,5186,18,1,0,6,102,0
18,Sitakunda,4208,18,1,0,59,31,1
19,Total,73884,1566,21,338,378,738,20
