,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,Chittagong,,,,
2,,,,,
3,Upazila/City corporation,Number of pump fielded - Electric,Number of pump fielded - Diesel,Number of pump fielded - Total,Area irrigated (in acre)
4,Anowara,417,70,487,8040
5,Banshkhali,204,142,346,3813
6,Boalkhali,26,3,29,3807
7,Chandanaish,28,28,56,132
8,Chittagong City Corporation,00,00,00,00
9,Fatikchhari,144,83,217,4075
10,Hathazari,50,13,63,200
11,Lohagara,160,42,202,1850
12,Mirsharai,0,0,0,0
13,Patiya,51,36,87,12315
14,Rangunia,60,40,100,1136
15,Raozan,242,483,725,13250
16,Sandwip,0,67,67,15750
17,Satkania,151,77,228,3039
18,Sitakunda,0,23,23,1225
19,Total,1533,1107,2630,68632
