,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,Chittagong,,,,,
2,,,,,,
3, Upazila/City corporation, Police personnel, Ansar personnel, VDP personnel,Autonomous body,Local Government employee
4,Anowara,39,260,11,82,108
5,Banshkhali,138,627,7296,39,169
6,Boalkhali,41,467,3712,1,25
7,Chandanaish,3,1,0,1,13
8,Chittagong City Corporation,2033,3966,7972,2616,120
9,Fatikchhari,44,937,11520,0,230
10,Hathazari,18,627,18,15,135
11,Lohagara,10,15,0,0,14
12,Mirsharai,49,659,11968,15,142
13,Patiya,62,613,4214,3,46
14,Rangunia,27,686,5504,22,150
15,Raozan,31,747,4046,78,20
16,Sandwip,37,150,50,2,27
17,Satkania,49,1048,6400,11,183
18,Sitakunda,99,467,5760,289,42
19,Total,2680,11270,68471,3174,1424
