,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,Chittagong,,,
2,,,,
3,Upazila/City corporation,Number of deep tube-well - Commissioned,Number of deep tube-well - Operated,Area irrigated (In acre)
4,Anowara,0,0,0
5,Banshkhali,139,25,5561
6,Boalkhali,5,0,400
7,Chandanaish,0,1,24
8,Chittagong City Corporation,2,6,0
9,Fatikchhari,3,3,148
10,Hathazari,0,1,30
11,Lohagara,0,15,515
12,Mirsharai,0,0,0
13,Patiya,9,0,751
14,Rangunia,2,0,0
15,Raozan,5,13,1200
16,Sandwip,0,7,10500
17,Satkania,0,22,57
18,Sitakunda,0,0,0
19,Total,165,93,19186
