,0,1,2,3,4
0,Number of branch of Grameen Bank 2011,,,,
1,,,,,
2,Upazila/City corporation,Number of branch,Number of employee,Number of member,Number of account
3,Balaganj,5,27,12426,12886
4,Beanibazar,5,30,10500,15260
5,Bishwanath,2,10,1292,3172
6,Companiganj,2,10,11827,236
7,Dakhin surma,0,0,0,0
8,Fenchuganj,0,0,0,0
9,Golapganj,4,43,2522,3657
10,Gowainghat,5,30,23144,23144
11,Jaintiapur,3,20,8541,12970
12,Kanaighat,3,17,1635,2492
13,Sylhet city corporation,0,0,0,0
14,Sylhet sadar,3,17,8048,8048
15,Zakiganj,4,24,3827,4350
16,Total,36.00,228.00,83762.00,86215.00
