,0,1,2,3,4,5
0,"Number of cinema hall, registered club, auditorium, public library and orphanage 2011",,,,,
1,,,,,,
2,Upazila/City corporation,Cinema hall,Registered club,Library,Orphanage,Auditorium
3,Balaganj,0,63,1,12,1
4,Beanibazar,0,76,1,0,2
5,Bishwanath,0,58,1,0,1
6,Companiganj,0,47,0,1,1
7,Dakhin surma,0,7,0,2,0
8,Fenchuganj,0,10,1,2,3
9,Golapganj,0,205,1,6,1
10,Gowainghat,0,0,1,0,1
11,Jaintiapur,0,27,1,0,1
12,Kanaighat,0,3,1,2,2
13,Sylhet city corporation,4,0,2,9,3
14,Sylhet sadar,2,225,0,17,0
15,Zakiganj,0,67,1,3,1
16,Total,6,788,11,54,17
