,0,1,2,3
0,"Number of branch of foreign bank (Standard Chattered, American express etc.) 2011",,,
1,,,,
2,Upazila,Number of employee,Number of savings A/C,Number of current A/C
3,Balaganj,0,0,0
4,Beanibazar,2,12,6032
5,Bishwanath,0,0,0
6,Companiganj,0,0,0
7,Dakhin surma,0,0,0
8,Fenchuganj,0,0,0
9,Golapganj,2,13,4235
10,Gowainghat,0,0,0
11,Jaintiapur,0,0,0
12,Kanaighat,0,0,0
13,Sylhet city corporation,3,69,6716
14,Sylhet sadar,0,0,0
15,Zakiganj,0,0,0
16,Total,7.00,94.00,16983.00
