,0,1,2,3
0,Number of co-operative society 2011,,,
1,,,,
2,Upazila/City corporation,Number,Number of employees,Number of client
3,Balaganj,459,4,9979
4,Beanibazar,95,11,4314
5,Bishwanath,223,0,4460
6,Companiganj,16,32,320
7,Dakhin surma,90,120,2700
8,Fenchuganj,176,15,4371
9,Golapganj,215,112,4455
10,Gowainghat,287,110,12840
11,Jaintiapur,159,22,7062
12,Kanaighat,252,50,5040
13,Sylhet city corporation,186,32,13731
14,Sylhet sadar,646,12,16536
15,Zakiganj,122,35,6171
16,Total,2926.00,555.00,91979.00
