,0,1,2,3,4
0,Occurrence of river erosion in the following year 2008-2011,,,,
1,,,,,
2,Upazila/City corporation,2008,2009,2010,2011
3,Balaganj,Yes,Yes,Yes,Yes
4,Beanibazar,Yes,No,Yes,No
5,Bishwanath,No,No,No,No
6,Companiganj,No,No,No,No
7,Dakhin surma,No,No,No,No
8,Fenchuganj,No,No,No,No
9,Golapganj,No,Yes,Yes,Yes
10,Gowainghat,Yes,Yes,Yes,No
11,Jaintiapur,No,No,No,No
12,Kanaighat,No,No,No,No
13,Sylhet city corporation,No,No,No,No
14,Sylhet sadar,Yes,Yes,Yes,Yes
15,Zakiganj,No,No,No,No
