,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Alikadam,24,2,0,0,0,0,0,0,0
5,Bandarban Sadar,0,0,60,0,0,0,0,0,0
6,Lama,1761,270,68,0,0,0,0,0,0
7,Naikhongchhari,356,105,54,0,0,0,0,0,8
8,Rowangchhari,0,0,0,0,0,0,0,0,0
9,Ruma,1300,600,17,0,0,0,0,0,0
10,Thanchi,200,50,20,0,0,0,0,0,0
11,Total,3641,1027,219,2,0,0,0,0,8
