,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Krishi bank - Number of branch,Krishi bank - Account - S.D,Krishi bank - Account - C.D,Krishi bank - Account - F.D,Krishi bank - Account - S.T.D,Co-operative bank - Number of branch,Co-operative bank - Account - S.D,Co-operative bank - Account - C.D,Co-operative bank - Account - F.D,Co-operative bank - Account - S.T.D
3,Bagerhat Sadar,4,24257,97,250,9,1,78,0,0,0
4,Kachua,3,15126,98,4850,12,0,0,0,0,0
5,Rampal,2,8735,179,264,4,0,0,0,0,0
6,Sarankhola,1,6036,23,143,6,0,0,0,0,0
7,Chitalmari,2,14453,48,90,3,0,0,0,0,0
8,Morrelgonj,4,15218,118,20,25,0,0,0,0,0
9,Mongla,1,150,46,0,5,0,0,0,0,0
10,Mollahat,1,12317,26,14,5,1,6,48,60,0
11,Fakirhat,3,1094,142,258,8,0,0,0,0,0
12,Total,21,97386,777,5889,77,2,84,48,60,0
