,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Narayanganj,,,,,,,,,,,
2,,,,,,,,,,,,
3, Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy rate () - 1981,Literacy rate () - 1991,Literacy rate () - 2001,Literacy rate () - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
4,Araihazar,232,300,331,377,17.9,23.0,37.4,41.0,112,114,226
5,Bandar,198,213,250,313,30.0,44.1,53.7,58.9,93,94,187
6,Narayanganj Sadar,423,605,883,1324,41.5,49.6,58.8,62.7,366,356,722
7,Rupganj,293,376,404,535,29.0,37.9,49.4,54.8,143,140,283
8,Sonargaon,210,262,306,400,22.6,33.1,47.0,54.6,124,120,244
9,Total,1356,1755,2174,2948,30.4,39.8,51.7,57.1,838,824,1662
