,0,1,2,3,4
0,"Area of high, medium and low land 2008",,,,
1,,,,,
2,Upazila,High land,Medium land,Low land,Total land
3,Baliakandi,6137,26926,4522,37585
4,Rajbari Sadar,6050,14456,615,21121
5,Goalanda,2568,21463,3158,30103
6,Pangsha,22350,17880,4470,44700
7,Kalukhali,14700,11760,2940,29400
8,Total,51805,92485,15705,162909
