,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3,Upazila,2010-11,2010-11,2009-10,2009-10
4,Upazila,Area,Production,Area,Production
5,Bhurungamari,0,0,0,0
6,Char Rajibpur,0,0,0,0
7,Chilmari,23,11,23,10
8,Kurigram Sadar,65,21,50,18
9,Nageshwari,33,16,88,44
10,Phulbari,1350,972,350,245
11,Rajarhat,91,55,91,55
12,Raumari,0,0,0,0
13,Ulipur,253,107,249,105
14,Total,1815,1182,851,477
