,0,1,2,3,4
0,Number of cooperative society and member 2011,,,,
1,Upazila,"Number of
co-operative society",Number of member,Number of member,Total
2,Upazila,"Number of
co-operative society",Male,Female,Total
3,Bhurungamari,330,9908,992,10900
4,Char Rajibpur,124,2200,1350,3550
5,Chilmari,235,5327,429,5756
6,Kurigram Sadar,13,6698,64,6762
7,Nageshwari,164,6500,650,7150
8,Phulbari,80,2262,910,3172
9,Rajarhat,137,1055,2459,3514
10,Raumari,68,7750,1065,8815
11,Ulipur,357,6542,1582,8124
12,Total,1508,48242,9501,57743
