,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,"
Upazila","
Police personnel","
Ansar personnel","
VDP personnel",Autonomous bodies,"Local
Government employee"
2,Baliadangi,26,388,6400,18,8
3,Haripur,32,439,4672,32,66
4,Pirgonj,31,700,10944,142,132
5,Ranisankail,31,403,15872,13,8
6,Thakurgaon Sadar,119,620,11530,3157,320
7,Total,239,2550,49418,3362,534
