,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,"
Upazila","
Pond","
Dighee","
River flow",Flood camp/ shelter,Cyclone shelter,Stadium/ playground,"Park/ amusement
park"
2,Baliadangi,1250,820,3,0,0,0,0
3,Haripur,1617,15,2,0,0,0,0
4,Pirgonj,2500,22,2,0,0,18,1
5,Ranisankail,1639,100,2,0,0,0,0
6,Thakurgaon Sadar,4855,420,7,0,0,91,2
7,Total,11861,1377,16,0,0,109,3
