,0,1,2,3
0,Dying facilities of handloom industry 2011,,,
1,Upazila,With dying facility,Without dying facility,Total
2,Baliadangi,0,0,0
3,Haripur,0,0,0
4,Pirgonj,0,0,0
5,Ranisankail,0,0,0
6,Thakurgaon Sadar,150,0,150
7,Total,150,0,150
