,0,1,2,3,4
0,"Occurrence of flood during the year 2008 -2011 (Yes, No)",,,,
1,Upazila,2008,2009,2010,2011
2,Bhola Sadar,Yes,Yes,Yes,No
3,Burhanuddin,Yes,Yes,Yes,Yes
4,Char Fasson,Yes,Yes,Yes,No
5,Daulatkhan,Yes,Yes,Yes,No
6,Lalmohan,No,No,No,No
7,Manpura,No,No,No,No
8,Tazumuddin,No,No,No,No
