,0,1,2,3,4,5
0,Cropped area (permanent + temporary) sprayed with plant protection measures 2008,,,,,
1,"
Upazila",Total farm holding,Total farm holding,Spraying Farm holding,Spraying Farm holding,Reporting area sprayed
2,"
Upazila",Number,Cropped area,Number,Cropped area,Reporting area sprayed
3,Bhola Sadar,55253,64806,47250,64806,42325
4,Burhanuddin,29466,67813,29466,67813,22604
5,Char Fasson,58705,170296,58705,124738,103747
6,Daulatkhan,17221,21216,17221,18206,16640
7,Lalmohan,45000,50952,45000,50952,50500
8,Manpura,8306,30278,7050,13500,10200
9,Tazumuddin,16722,37005,12321,29522,16566
10,Total,169601,442366,208771,369537,262582
