,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,"
Upazila",Population(000),Population(000),Population(000),Population(000),Literacy rate	(%),Literacy rate	(%),Literacy rate	(%),Literacy rate	(%),Number of voter (000),Number of voter (000),Number of voter (000)
2,"
Upazila",1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
3,Bhola Sadar,284,352,408,431,21.6,25.6,39.1,45.2,113,110,223
4,Burhanuddin,210,208,244,234,21.6,21.9,37.2,47.9,63,67,130
5,Char Fasson,262,342,414,456,19.3,25.5,37.7,43.5,118,121,239
6,Daulatkhan,143,153,173,169,23.0,24.5,37.3,41.6,49,50,99
7,Lalmohan,202,252,277,284,20.2,20.3,32.2,40.0,81,86,167
8,Manpura,35,51,67,77,16.3,21.3,35.7,32.1,19,20,39
9,Tazumuddin,73,117,120,127,21.3,27.0,36.7,42.9,34,33,67
10,Total,1209,1475,1703,1778,20.2,24.9,36.9,43.2,477,487,964
