,0,1,2,3,4,5,6,7
0,"Number of Non government college, teacher and student 2011",,,,,,,
1,,,,,,,,
2,Gazaria,,17.0,3.0,20.0,280.0,459.0,739	37
3,Lauhajang,2.0,27.0,9.0,36.0,482.0,1047.0,1529	42
4,Munshiganj Sadar,2.0,41.0,14.0,55.0,910.0,998.0,1908	35
5,Serajdikhan,4.0,83.0,15.0,98.0,1578.0,1787.0,3365	34
6,Sreenagar,2.0,39.0,10.0,49.0,368.0,536.0,904	18
7,Tongibari,3.0,49.0,4.0,53.0,864.0,1137.0,2006	38
8,Total,14.0,256.0,55.0,311.0,4482.0,5964.0,10451	34
