,0,1,2,3,4,5,6,7
0,"Number of Government college, teacher and student 2011",,,,,,,
1,,,,,,,,
2,Gazaria,l,15.0,3.0,18.0,223.0,53.0,276	15
3,Lauhajang,0,0.0,0.0,0.0,0.0,0.0,0	0
4,Munshiganj Sadar,2,64.0,33.0,97.0,3705.0,2690.0,6395	66
5,Serajdikhan,0,0.0,0.0,0.0,0.0,0.0,0	0
6,Sreenagar,,24.0,13.0,37.0,801.0,1120.0,1921	52
7,Tongibari,0,0.0,0.0,0.0,0.0,0.0,0	0
8,Total,4,103.0,49.0,152.0,4729.0,3863.0,8592	57
