,0,1,2,3,4,5,6,7,8,9,10,11
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,,
1,,,,,,,,,,,,
2,Upazila,Sonali bank Number of b ranch Number of b ranch,Sonali bank Account S.DI,Sonali bank Account C.D,Sonali bank Account I,Sonali bank Account F.D,Sonali bank Account I S.T.D,Janata bankI Number of branch Number of branch,Janata bankI Account S.DI,Janata bankI Account C.D,Janata bankI Account I F.D,Janata bankI Account I S.T.D
3,Gazaria,2,7193,869,140,40,0,0,0,0,0,
4,Lauhajang,3,7376,169,428,8,0,0,0,0,0,
5,Munshiganj Sadar,3,16403,1483,255,58,2,47S4,621,283,31,
6,Serajdikhan,7,40215,1141,9S3,6S,0,0,0,0,0,
7,Sreenagar,,4919,530,273,38,,9420,87,284,14,
8,Tongibari,,6228,593,174,31,4,16841,656,212,14,
9,Total,17,82334,4785,2223,250,7,31015,1364,779,59,
