,0,1,2,3,4,5,6,7
0,"Area and production of pepper, onion and garlic 2010-11",,,,,,,
1,(Area in acre and oroduction in metric ton),,,,,,,
2,Upazila,Pepper AreaI,Pepper Production,Onion AreaI,Onion Production,Garlic AreaI,Garlic Production,
3,Gazaria,410,232,,99,260,74,180.0
4,Lauhajang,45,27,,67,246,27,64.0
5,Munshlganj Sadar,1015,372,,177,257,32,39.0
6,Serajdikhan,302,243,,177,248,123,98.0
7,Sreenagar,59,33,,35,53,9,9.0
8,Tongibari,115,57,,44,98,9,16.0
9,Total,1946,96S,,599,1162,273,406.0
10,,,,37,,,,
