,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2,Upazila,Small scale and cottage industry Weaving/ handloom,Small scale and cottage industry Handy,Small scale and cottage industry Husking crafts mill,Small scale and cottage industry Salt,Small scale and cottage industry Pottery,Small scale and cottage industry Others,,,
3,Gazaria,0,0,31,0,0,0,0.0,8.0,0.0
4,Lauhajang,0,0,0,0,0,0,0.0,0.0,0.0
5,Munshiganj Sadar,0,231,17,0,0,0,0.0,0.0,0.0
6,Serajdikhan,553,127,120,0,2,0,0.0,13.0,12.0
7,Sreenagar,59,41,56,0,0,0,0.0,50.0,0.0
8,Tongibari,0,0,78,0,0,0,0.0,8.0,2.0
9,Total,612,399,302,0,2,0,0.0,79.0,14.0
