,0,1,2,3,4,5,6,7
0,"Number of registered primary school (class 1-V), teacher and student 2011",,,,,,,
1,,,,,,,,
2,Upazila,Number of registered primary school,Number of teacher Male I Female ITotal,Number of student Male I Female ITotal,Students per teacher,,,
3,Gazaria	16,13,46,59,1262,784.0,2046.0,35.0
4,Lauhajang	5,9,8,17,220,230.0,450.0,26.0
5,Munshiganj Sadar	9,13,19,32,1671,1793.0,3464.0,108.0
6,Serajdikhan	13,24,28,52,1221,1377.0,2598.0,50.0
7,Sreenagar	13,21,31,52,1280,1228.0,2508.0,48.0
8,Tongibari	13,10,22,32,851,1304.0,2155.0,67.0
9,Total	69,90,154,244,650S,6716.0,13221.0,54.0
