,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,Jessore,,,,
2,,,,,
3,Upazila,Number of pump fielded - Electric,Number of pump fielded - Diesel,Number of pump fielded - Total,Area irrigated (in acre)
4,Abhaynagar,564,4900,5464,33498
5,Bagherpara,1095,6850,7945,44497
6,Chaugachha,547,10954,11501,37124
7,Jessore Sadar,1001,7447,8448,67250
8,Jhikargachha,799,8537,9336,34885
9,Keshabpur,999,8670,9669,44382
10,Manirampur,2150,9752,11902,65998
11,Sharsha,2510,11920,14430,148921
12,Total,9665,69030,78695,476555
