,0,1,2,3,4
0,"Number of registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,
1,,,,,
2,Upazila,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo
3,Bauphal,254,241,0,0
4,Dashmina,2000,200,0,0
5,Dumki,98,28,2,31
6,Galachipa,5000,105,0,52
7,Kalapara,3250,4125,147,277
8,Mirzaganj,715,248,15,28
9,Patuakhali Sadar,3530,256,247,36
10,Total,14847,5203,411,424
