,0,1,2,3,4
0," Name of important or historical,  tourist places, objects, important , famous crop or food production 2011",,,,
1,,,,,
2,  Upazila, Name of important or historical/ tourist places/objects,Name of important /famous crop or food production,Customer care service providers name of cell phone operators,Distance between district head quarter & upazila by road (km)
,Bagha,Bagha shahi Mosque,Mango,-,45
,Baghmara,Taherpur,Potato,"GP, Robi, Banglalink, Airtel & Citycell",50
,Charghat ,Sardah kedet college ,Mango,"GP, Robi, Banglalink & Airtel",30
,Durgapur,Kismat maria mosque,"Paddy, Wheat","GP, Robi & Banglalink",32
,Godagari,Sultan shahmazar,Paddy,-,36
,Mohanpur,-,Potato,-,25
,Paba,-,Paddy,-,8
,Puthia,-,Paddy,"Teletalk, GP, Robi, Banglalink, Airtel & Citycell",34
,Rajshahi city corporation,"Shah Makhdum mazar, Barendra Museum",-,-,-
,Tanore,-,Potato,-,28
