,0,1,2,3,4,5
0,"Name of land, river,  sea port, important or historical,  tourist places, objects, important,  famous crop or food ptoduction 2011",,,,,
1,Kishoreganj,,,,,
2,,,,,,
3, Upazila,Name of Land/River/Sea port,Name of Important or historical/ Tourist places/objects,Name of important /famous crop or food production,Customer care service Providers name of Cell phone Operators,Distance between District Head Quarter  Upazila by road (km)
4,Katiadi,0,Shatozidroy bari,Paddy,Shajhan,25
5,Hossainpur,0,0,Paddy,Grameen Phone,15
6,Bajitpur,Humai pur,Vagul pur,Shandes,Alpona,45
7,Itna,0,0,Bro Paddy,Bangla Link,37
8,Kuliar-char,0,0,Paddy,Bangla Link,35
9,Mithamain,0,Shalimur dhan,Paddy,Safali,60
10,Pakundia,Brakmaputra,Esakha durgo,Mongul baria,Gramin Phone,15
11,Tarail,0,Sha sekander mager,Grameen Shilfe,Banglaling,20
12,Nikli,0,Noynbali gol mohal,Rosmali,Gramin Phane,27
13,Kishoreganj Sadar,0,Chaondraboti bari,Paddy,Rofique/roton,10
14,Austagram,0,kotube mosqugn,Paddy,Gramin Phone,80
15,Karimganj,Chamra bonder,Gongolbari,Paddy,0,18
16,Bhairab,Bhairab,megna ral satu,Paddy,0,56
