,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from all private commercial bank 2011",,,,,,,,,,,
1,Kishoreganj,,,,,,,,,,,
2,,,,,,,,,,,,
3,  Upazila,Number of branches of private commercial bank,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Others debt - Male,Number of borrower - Others debt - Female,Number of borrower - Male,Number of borrower - female,Number of borrower - Total debt (Crore) - Male,Number of borrower - Total debt (Crore) - Female
4,Austagram,0,0,0,0,0,0,0,0,0,0,0
5,Bajitpur,2,47,12,120,0,679,39,846,51,9.53,0.2
6,Bhairab,14,7936,2674,58,1,1772,112,10021,2789,1376.83,12.32
7,Hossainpur,0,0,0,0,0,0,0,0,0,0,0
8,Itna,0,4824,13,0,0,2693,119,7517,132,16,1
9,Karimganj,0,0,0,0,0,0,0,0,0,0,0
10,Katiadi,11,0,15070,0,0,0,1560,0,16630,0,57.47
11,Kishoreganj Sadar,5,0,0,2,0,951,50,953,50,28.53,2.5
12,Kuliar-char,0,0,0,0,0,0,0,0,0,0,0
13,Mithamain,2,0,1761,0,0,8,1,8,170,0.14,3.11
14,Nikli,0,0,0,0,0,0,0,0,0,0,0
15,Pakundia,2,35,12,0,0,178,2429,213,2441,1.1,4.86
16,Tarail,2,246,0,0,0,212,0,458,0,13,0
17,Total,38,19088,19542,180,1,6493,4310,20016,22263,1445.13,81.46
