,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Adarsha Sadar,,25,9473,1,0,0,0,15,66
4,Barura,0,692,3500,0,0,0,0,60,38
5,Brahmanpara,0,0,12600,0,0,0,0,220,150
6,Burichang,0,0,12200,0,0,0,0,0,0
7,Chandina,0,0,0,0,0,0,0,0,0
8,Chauddagram,0,6,1716,0,0,0,0,5,0
9,Comilla Sadar Dakshin,0,0,158,0,0,0,0,6,0
10,Daudkandi,0,69,1756,0,0,0,0,0,11
11,Debidwar,0,0,3200,0,0,0,0,0,7
12,Homna,70,22,632,0,0,0,0,0,0
13,Laksam,0,0,212,0,2,0,0,1,0
14,Monoharganj,42,0,0,0,0,0,0,57,0
15,Meghna,0,0,0,0,0,0,0,0,0
16,Muradnagar,105,21,1050,0,0,3,4,15,15
17,Nangalkot,0,0,0,0,0,0,0,0,0
18,Titas,0,0,0,0,0,0,0,0,0
19,Total,220,836,46497,1,2,3,4,379,287
