,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Upazila,Class-I,Class-II,Class-III,Class-IV,"Number of
employee"
2,Adarsha Sadar,250,254,2817,821,4142
3,Barura,50,29,557,152,788
4,Brahmanpara,35,25,780,260,1100
5,Burichang,35,25,780,260,1100
6,Chandina,39,29,381,92,541
7,Chauddagram,64,33,1306,199,1602
8,Comilla Sadar Dakshin,289,285,1083,673,2330
9,Daudkandi,43,28,402,182,655
10,Debidwar,59,30,537,190,816
11,Homna,65,28,886,159,1138
12,Laksam,49,52,384,168,653
13,Monoharganj,38,15,623,79,755
14,Meghna,23,18,396,65,502
15,Muradnagar,66,51,659,203,979
16,Nangalkot,52,24,312,94,482
17,Titas,39,23,573,74,709
18,Total,1196,949,12476,3671,18292
