,0,1,2,3,4
0,Number of branch of Grameen bank 2011,,,,
1,Upazila,Number of branch,"Number of
employee","Number of
member",Number of account
2,Adarsha Sadar,5,41,17087,17087
3,Barura,9,49,18635,18635
4,Brahmanpara,8,59,27312,27312
5,Burichang,8,66,28530,29532
6,Chandina,5,35,16823,16823
7,Chauddagram,0,0,0,0
8,Comilla Sadar Dakshin,3,20,4061,4061
9,Daudkandi,5,27,246,13092
10,Debidwar,5,41,20811,20811
11,Homna,3,23,11645,12658
12,Laksam,9,61,4397,12
13,Monoharganj,4,32,10296,11651
14,Meghna,2,18,2750,3082
15,Muradnagar,8,77,38041,38041
16,Nangalkot,7,51,13408,13408
17,Titas,3,26,10108,33608
18,Total,84,622,224190,259813
