,0,1,2,3,4,5
0,Employment status in handloom industry 2011,,,,,
1,,,,,,
2,Upazila,Number of handloom,Person engaged,Person engaged,Person engaged,Total
3,Upazila,Number of handloom,Family member,Regular,Hired /Casual,Total
4,Adarsha Sadar,3,3,3,3,9
5,Barura,0,0,0,0,0
6,Brahmanpara,0,0,0,0,0
7,Burichang,0,0,0,0,0
8,Chandina,0,0,0,0,0
9,Chauddagram,0,0,0,0,0
10,Comilla Sadar Dakshin,1,4,4,0,8
11,Daudkandi,0,0,0,0,0
12,Debidwar,0,0,0,0,0
13,Homna,54,54,70,40,164
14,Laksam,0,0,0,0,0
15,Monoharganj,42,65,0,0,65
16,Meghna,0,0,0,0,0
17,Muradnagar,105,190,30,0,220
18,Nangalkot,0,0,0,0,0
19,Titas,0,0,0,0,0
20,Total,205,316,107,43,466
