,0,1,2,3
0,Number of co-operative society 2011,,,
1,Upazila,Number,Number of employee,Number of client
2,Adarsha Sadar,458,2018,43852
3,Barura,267,936,11811
4,Brahmanpara,67,0,3713
5,Burichang,257,771,3443
6,Chandina,445,1290,26109
7,Chauddagram,196,21,7840
8,Comilla Sadar Dakshin,354,382,18453
9,Daudkandi,451,40,13061
10,Debidwar,187,58,4293
11,Homna,74,7,3613
12,Laksam,469,25,11377
13,Monoharganj,79,20,1258
14,Meghna,52,9,1477
15,Muradnagar,315,284,14531
16,Nangalkot,228,458,19201
17,Titas,45,24,2430
18,Total,3944,6343,190462
