,0,1,2,3,4,5
0,Number of employee by local govt. institution 2011,,,,,
1,Barisal,,,,,
2,,,,,,
3,Upazila/city corporation,City corporation,Municipality,Zila parishad,Upazila parishad,Union parishad
4,Agailjhara,0,0,0,3,59
5,Babuganj,0,0,0,3,62
6,Bakerganj,0,17,0,3,314
7,Banaripara,0,15,2,3,96
8,Barisal city corporation,342,0,26,0,0
9,Barisal Sadar,0,0,0,2,104
10,Gaurnadi,0,39,0,6,83
11,Hizla,0,0,0,2,63
12,Mehendiganj,0,29,0,0,145
13,Muladi,0,13,0,2,74
14,Wazirpur,0,0,0,1,93
15,Total,342,113,28,25,1093
