,0,1,2,3,4
0,Upazila Wise Statistics on Low Lift Pump Scheme 2010-11,,,,
1,"
Upazila/city corporation",Number of pumps fielded,Number of pumps fielded,Number of pumps fielded,"
Area irrigated (in acres)"
2,"
Upazila/city corporation",Electric,Diesel,Total,"
Area irrigated (in acres)"
3,Batiaghata,401,320,721,6573
4,Dacope,0,0,0,0
5,Dighalia,37,1013,1050,10279
6,Dumuria,50,1685,1735,42215
7,Khulna City Corporation,32,14,46,163
8,Koyra,4,204,208,582
9,Paikgachha,93,1856,1949,6662
10,Phultala,41,100,141,7776
11,Rupsa,388,775,1164,13671
12,Terokhada,4,1861,1865,3505
13,Total,1050,7828,8879,84764
