,0,1,2,3,4
0,"Area and Production at Water Melon, Melon (Bangi).",,,,
1,(Area in acre & production in metric ton),,,,
2,Upazila/city corporation,Year 2010-11 Area,Year 2010-11 Production,Year 2009-10. Area,Year 2009-10. Production
3,Batiaghata	19,83,14,56,
4,Dacope	2018,3617,2022,36087,
5,Dighalia	0,0,0,0,
6,Dumuria	77,125,69,110,
7,Khulna City Corporation	0,0,0,0,
8,Koyra	40,86,60,1,
9,Paikgachha	21,77,21,80,
10,Phultala	4,14,3,26,
11,Rupsa	36,131,37,132,
12,Terokhada	11,47,10,42,
13,Total	2226,4180,2236,36535,
